confirmed_id,country,date,confirmed_total
804,Burkina Faso,1/26/20,0
805,Morocco,1/26/20,0
806,Kosovo,1/26/20,0
807,Libyan Arab Jamahiriya,1/26/20,0
808,Guinea-Bissau,1/26/20,0
809,Philippines,1/26/20,0
810,Maldives,1/26/20,0
811,Brunei,1/26/20,0
812,The former Yugoslav Republic of Macedonia,1/26/20,0
813,Azerbaijan,1/26/20,0
814,West Bank and Gaza,1/26/20,0
815,Luxembourg,1/26/20,0
816,Sweden,1/26/20,0
817,Czech Republic,1/26/20,0
818,Venezuela,1/26/20,0
819,Djibouti,1/26/20,0
820,Montenegro,1/26/20,0
821,Papua New Guinea,1/26/20,0
822,Algeria,1/26/20,0
823,Albania,1/26/20,0
824,Nicaragua,1/26/20,0
825,Kenya,1/26/20,0
826,Botswana,1/26/20,0
827,Grenada,1/26/20,0
828,Bangladesh,1/26/20,0
829,Slovakia,1/26/20,0
830,Georgia,1/26/20,0
831,Central African Republic,1/26/20,0
832,New Zealand,1/26/20,0
833,Benin,1/26/20,0
834,Lesotho,1/26/20,0
835,Gambia,1/26/20,0
836,Guatemala,1/26/20,0
837,Kuwait,1/26/20,0
838,Uganda,1/26/20,0
839,Greece,1/26/20,0
840,Mozambique,1/26/20,0
841,Nigeria,1/26/20,0
842,Fiji,1/26/20,0
843,Mauritania,1/26/20,0
844,Italy,1/26/20,0
845,Diamond Princess,1/26/20,0
846,Eritrea,1/26/20,0
847,Kazakhstan,1/26/20,0
848,Eswatini,1/26/20,0
849,Germany,1/26/20,0
